"","x","y","BEN","CH4","H2S","TOL","VOC","XYM","XYP"
"307",-90.022415,35.065995,0,0,0,0,0,0,0
"308",-90.022375,35.06617,0,0,0,0,0,0,0
"309",-90.022345,35.066305,0,0,0,0,0,0,0
"310",-90.02231,35.06644,0,0,0,0,0,0,0
"311",-90.022275,35.06658,0,0,0,0,0,0,0
"312",-90.022235,35.066755,0,0,0,0,0,0,0
"313",-90.0222,35.066895,0,0,0,0,0,0,0
"314",-90.02218,35.066965,0,0,0,0,0,0,0
"315",-90.022155,35.067075,9.6275,0,0,0,0,0,0
"316",-90.02211,35.067255,9.6275,0,0,0,0,0,0
"317",-90.022065,35.06743,0,0,0,0,0,0,0
"318",-90.02203,35.067575,0,0,0,0,0,0,0
"319",-90.021995,35.06772,0,0,0,0,0,0,0
"320",-90.02197,35.06783,0,0,0,0,0,0,0
"321",-90.021935,35.06798,0,0,0,0,0,0,0
"322",-90.02189,35.068165,0,0,0,0,0,0,0
"323",-90.02185,35.068315,0,0,0,0,0,0,0
"324",-90.021825,35.068425,0,0,0,0,0,0,0
"325",-90.02179,35.068575,0,0,0,0,0,0,0
"326",-90.021745,35.068765,0,0,0,0,0,0,0
"327",-90.02171,35.068915,0,0,0,0,0,0,0
"328",-90.02167,35.069065,0,0,0,0,0,0,0
"329",-90.02163,35.06922,0,0,0,0,0,0,0
"330",-90.021595,35.069375,0,0,0,0,0,0,0
"331",-90.02156,35.06953,0,0,0,0,0,0,0
"332",-90.02153,35.069645,0,0,0,0,0,0,0
"333",-90.02149,35.0698,0,0,0,0,0,0,0
"334",-90.02144,35.07,0,0,0,0,0,0,0
"335",-90.0214,35.070155,0,0,0,-0.111,0,0,0
"336",-90.02136,35.07031,0,0,0,-0.111,0,0,0
"337",-90.02132,35.070465,0,0,0,0,0,0,0
"338",-90.021285,35.07062,0,0,0,0,0,0,0
"339",-90.02125,35.070775,0,0,0,0,0,0,0
"340",-90.02121,35.070925,0,0,0,1.22,0,0,0
"341",-90.02117,35.071075,0,0,0,0,0,0,0
"342",-90.021135,35.07122,0,0,0,0,0,0,0
"343",-90.0211,35.071365,0,0,0,0,0,0,0
"344",-90.02107,35.071475,0,0,0,0,0,0,0
"345",-90.021035,35.071625,0,0,0,0,0,0,0
"346",-90.02099,35.071815,0,0,0,0,0,0,0
"347",-90.02095,35.071965,0,0,0,0,0,0,0
"348",-90.02091,35.07212,0,0,0,0,-11.0064285714286,0,0
"349",-90.02087,35.07228,0,0,0,0,-11.0064285714286,0,0
"350",-90.02083,35.07244,0,0,0,0,-11.0064285714286,0,0
"351",-90.02079,35.072605,0,0,0,0,-11.0064285714286,0,0
"352",-90.02075,35.07277,0,0,0,0,-11.0064285714286,0,0
"353",-90.02072,35.072895,0,0,0,0,-11.0064285714286,0,0
"354",-90.02068,35.073065,0,0,0,0,-11.0064285714286,0,0
"355",-90.02063,35.07327,0,0,0,0,0,0,0
"356",-90.0206,35.07339,0,0,0,0,0,0,0
"357",-90.02056,35.073555,0,0,0,0,0,0,0
"358",-90.02051,35.07376,0,0,0,0,0,0,0
"359",-90.02048,35.07388,0,0,0,0,0,0,0
"360",-90.02044,35.07404,0,0,0,0,0,0,0
"361",-90.02039,35.07424,0,0,0,0,0,0,0
"362",-90.02036,35.07436,0,0,0,0,0,0,0
"363",-90.020325,35.07452,0,0,0,0,0,0,0
"364",-90.02028,35.074715,0,0,0,0,0,0,0
"365",-90.02024,35.07487,0,0,0,0,0,0,0
"366",-90.0202,35.075025,0,0,0,0,0,0,0
"367",-90.020155,35.07522,0,0,0,0,0,0,0
"368",-90.0201,35.075455,0,0,0,0,0,0,0
"369",-90.020045,35.075685,0,0,0,0,0,0,0
"370",-90.02,35.075875,0,0,0,0,0,0,0
"371",-90.01996,35.07603,0,0,0,0,0,0,0
"372",-90.01991,35.07622,0,0,0,0,0,0,0
"373",-90.019875,35.07637,0,0,0,0,0,0,0
"374",-90.01985,35.07648,0,0,0,0,0,0,0
"375",-90.019815,35.07662,0,0,0,0,0,0,0
"376",-90.01979,35.07672,0,0,0,0,0,0,0
"377",-90.019755,35.076845,0,0,0,0,0,0,0
"378",-90.019715,35.077025,0,0,0,0,0,0,0
"379",-90.019695,35.07714,0,0,0,0,0,0,0
"380",-90.01968,35.077225,0,0,0,0,0,0,0
"381",-90.01966,35.077325,0,0,0,0,0,0,0
"382",-90.01964,35.077415,0,0,0,0,0,0,0
"383",-90.01962,35.077495,0,0,0,0,0,0,0
"384",-90.019605,35.07756,0,0,0,0,0,0,0
"385",-90.019595,35.077605,0,0,0,0,0,0,0
"386",-90.01958,35.07765,0,0,0,0,0,0,0
"387",-90.019565,35.077695,0,0,0,0,0,0,0
"388",-90.019555,35.077735,0,0,0,0,0,0,0
"389",-90.019545,35.077775,0,0,0,0,0,0,0
"390",-90.019535,35.077805,0,0,0,0,0,0,0
"391",-90.019525,35.077845,0,0,0,0,0,0,0
"392",-90.019515,35.077885,0,0,0,0,0,0,0
"393",-90.019505,35.07793,0,0,0,0,0,0,0
"394",-90.01949,35.07799,0,0,0,0,0,0,0
"395",-90.019465,35.07808,0,0,0,0,0,0,0
"396",-90.019445,35.078165,0,0,0,0,0,0,0
"397",-90.01942,35.07828,0,0,0,0,0,0,0
"398",-90.019395,35.078395,0,0,0,0,0,0,0
"399",-90.019385,35.07845,0,0,0,0,0,0,0
"400",-90.019365,35.07856,0,0,0,0,0,0,0
"401",-90.019335,35.078695,0,0,0,0,0,0,0
"402",-90.01931,35.07881,0,0,0,0,0,0,0
"403",-90.019285,35.07893,0,0,0,0,0,0,0
"404",-90.019255,35.07905,0,0,0,0,0,0,0
"405",-90.01923,35.079145,0,0,0,0,0,0,0
"406",-90.0192,35.07928,0,0,0,0,0,0,0
"407",-90.01916,35.079485,0,0,0,0,0,0,0
"408",-90.01913,35.079625,0,0,0,0,0,0,0
"409",-90.019105,35.079735,0,0,0,0,0,0,0
"410",-90.019075,35.07988,0,0,0,0,0,0,0
"411",-90.01905,35.07999,0,0,0,0,0,0,0
"412",-90.019015,35.08014,0,0,0,0,0,0,0
"413",-90.018975,35.080325,0,0,0,0,0,0,0
"414",-90.01895,35.08044,0,0,0,0,0,0,0
"415",-90.018925,35.080555,0,0,0,0,0,0,0
"416",-90.01889,35.08074,0,0,0,0,0,0,0
"417",-90.01886,35.080885,0,0,0,0,0,0,0
"418",-90.018835,35.08103,0,0,0,0,0,0,0
"419",-90.01881,35.08121,0,0,0,0,0,0,0
"420",-90.018795,35.08132,0,0,0,0,0,0,0
"421",-90.018775,35.08146,0,0,0,0,0,0,0
"422",-90.01875,35.081635,0,0,0,0,0,0,0
"423",-90.01873,35.08178,0,0,0,0,0,0,0
"424",-90.018705,35.08192,0,0,0,0,0,0,0
"425",-90.01868,35.08206,0,0,0,0,0,0,0
"426",-90.01866,35.0822,0,0,0,0,0,0,0
"427",-90.018645,35.08234,0,0,0,0,0,0,0
"428",-90.01863,35.082475,0,0,0,0,0,0,0
"429",-90.018615,35.082595,0,0,0,0,0,0,0
"430",-90.018605,35.08273,0,0,0,0,0,0,0
"431",-90.0186,35.08286,0,0,0,0,0,0,0
"432",-90.0186,35.08293,0,0,0,0,0,0,0
"433",-90.0186,35.082995,0,0,0,0,0,0,0
"434",-90.0186,35.08308,0,0,0,0,0,0,0
"435",-90.018605,35.083155,0,0,0,0,0,0,0
"436",-90.018625,35.08322,0,0,0,0,0,0,0
"437",-90.018665,35.083275,0,0,0,0,0,0,0
"438",-90.01871,35.08331,0,0,0,0,0,0,0
"439",-90.018795,35.083335,0,0,0,0,0,0,0
"440",-90.01894,35.083355,0,0,0,0,0,0,0
"441",-90.019045,35.083360098,0,0,0,0,0,8.768,0
"442",-90.019135,35.083360098,0,0,0,0,0,8.768,0
"443",-90.01931,35.083360098,0,0,0,0,0,8.768,0
"444",-90.019495,35.083360098,0,0,0,0,0,0,0
"445",-90.019645,35.083365,0,0,0,0,0,0,0
"446",-90.019755,35.083375,0,0,0,0,-12.7153333333333,0,0
"447",-90.019865,35.083380098,0,0,0,0,-12.7153333333333,0,0
"448",-90.020055,35.083385,0,0,0,0,-12.7153333333333,0,0
"449",-90.02025,35.083395,0,0,0,0,0,0,0
"450",-90.02037,35.083400098,0,0,0,0,0,0,0
"451",-90.02049,35.083405,0,0,0,0,0,0,0
"452",-90.02069,35.083410098,0,0,0,0,0,0,0
"453",-90.020855,35.083410098,0,0,0,0,0,0,0
"454",-90.02102,35.083415,0,0,0,0,0,0,0
"455",-90.021225,35.083420098,0,0,0,0,0,0,0
"456",-90.02139,35.083425,0,0,0,0,0,0,0
"457",-90.02155,35.083430098,0,0,0,0,0,0,0
"458",-90.021705,35.083430098,0,0,0,0,0,0,0
"459",-90.021855,35.083435,0,0,0,0,0,0,0
"460",-90.022005,35.083440098,0,0,0,0,0,0,0
"461",-90.022195,35.083440098,0,0,0,0,0,0,0
"462",-90.022345,35.083440098,0,0,0,0,0,0,0
"463",-90.022455,35.083445,0,0,0,0,0,0,0
"464",-90.022605,35.083450098,0,0,0,0,0,0,0
"465",-90.022755,35.083450098,0,0,0,0,0,0,0
"466",-90.02291,35.083455,0,0,0,0,0,0,0
"467",-90.023065,35.083460098,0,0,0,0,0,0,0
"468",-90.023215,35.083465,0,0,0,0,0,0,0
"469",-90.02337,35.083470098,0,0,0,0,0,0,0
"470",-90.023525,35.083470098,0,0,0,0,0,0,0
"471",-90.023675,35.083475,0,0,0,0,0,0,0
"472",-90.023825,35.083480098,0,0,0,0,0,0,0
"473",-90.024,35.083485,0,0,0,0,0,0,0
"474",-90.02419,35.083495,0,0,0,0,0,0,0
"475",-90.02436,35.083500098,0,0,0,0,0,0,0
